answer,category,id,last_updated,question,source_title,source_type,source_url,subcategory
BIS describes hallmarking as the accurate determination and official recording of the proportionate content of precious metal in precious metal articles.,Hallmarking,R001,2026-04-23,What is hallmarking?,Hallmarking overview,official_bis_webpage,https://www.bis.gov.in/hallmarking-overview/?lang=en,Basics
Yes. A consumer can get jewellery or a sample tested at a BIS-recognized Assaying and Hallmarking Centre. The testing is on a chargeable basis and the centre issues an Assay Report with identification details.,Hallmarking,R002,2025-11-26,Can a consumer get hallmarked or unhallmarked jewellery tested?,Consumer Protection,official_bis_webpage,https://www.bis.gov.in/hallmarking-overview/consumer-protection/?lang=en,Consumer testing
"BIS states that if hallmarked jewellery is found to have lower purity than the marked purity, the buyer/customer is entitled to compensation calculated as two times the difference based on the shortage of purity for the weight sold, along with testing charges.",Hallmarking,R003,2025-11-26,What happens if hallmarked jewellery has lower purity than declared?,Consumer Protection,official_bis_webpage,https://www.bis.gov.in/hallmarking-overview/consumer-protection/?lang=en,Consumer compensation
The BIS CARE app provides a Verify HUID feature that consumers can use to verify information about hallmarked gold jewellery bearing a HUID number.,Hallmarking,R004,,How can consumers verify a HUID?,BIS Care App,official_bis_webpage,https://www.bis.gov.in/bis-apps/?lang=en,HUID
BIS states that consumers can verify the HUID in the BIS CARE app using Verify HUID and obtain information related to the jeweller's registration number.,Hallmarking,R005,,What jeweller information can be obtained from HUID?,Consumers - Hallmarking FAQs,official_bis_webpage,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/mandatory/?lang=en,HUID
"Yes. BIS advises consumers to take an authentic bill or invoice for a hallmarked article because it is necessary for dispute, misuse, or complaint redressal.",Hallmarking,R006,,Is an authentic bill or invoice necessary for a hallmarked article?,Common Consumer FAQ,official_bis_webpage,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/common-consumer-faq/?lang=en,Bill
"BIS says the bill or invoice should include the description of each article, net weight of precious metal, purity in carat and fineness, and hallmarking charges.",Hallmarking,R007,,What should the jeweller mention in the bill?,Common Consumer FAQ,official_bis_webpage,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/common-consumer-faq/?lang=en,Bill
"BIS advises consumers to look for the BIS-related display and registration certificate, and states that the jeweller should have a minimum 10X magnifying glass to show the hallmark to customers.",Hallmarking,R008,,What should a consumer look for in a jewellery shop?,General Hallmarking FAQ,official_bis_webpage,https://www.bis.gov.in/hallmarking-overview/hallmarking-faq/?lang=en,Shop checks
No. BIS states that hallmarking charges are paid per article irrespective of the weight of the article.,Hallmarking,R009,,Are hallmarking charges dependent on jewellery weight?,General Hallmarking FAQ,official_bis_webpage,https://www.bis.gov.in/hallmarking-overview/hallmarking-faq/?lang=en,Charges
"A jeweller willing to obtain registration applies online through the National Single Window System portal, which can also be accessed through the BIS portal. BIS states that registration is granted instantly without a fee and is valid for life.",Hallmarking,R010,,How does a jeweller obtain BIS registration for selling hallmarked gold and silver articles?,Jewellers,official_bis_webpage,https://www.bis.gov.in/hallmarking-jewellers/?lang=en,Jeweller registration
"BIS states that manufacturers, wholesalers, distributors and retailers engaged in selling hallmarked precious-metal gold or silver articles have to be registered with BIS.",Hallmarking,R011,,Who must obtain BIS registration to sell hallmarked precious metal articles?,Jewellers,official_bis_webpage,https://www.bis.gov.in/hallmarking-jewellers/?lang=en,Who needs registration
"The BIS CARE app supports Verify Licence Details, Verify HUID, Know your Standards, BIS laboratory and office locations, certification information, and complaint-related access.",Consumer,R012,,What can consumers do using the BIS CARE app?,BIS Care App,official_bis_webpage,https://www.bis.gov.in/bis-apps/?lang=en,BIS CARE
"BIS lists complaints concerning the quality of BIS-certified products including products under compulsory registration and hallmarking schemes, misuse of the BIS Standard Mark, and violation of Quality Control Orders.",Consumer,R013,,What categories of complaints can be lodged with BIS?,For Consumers FAQ,official_bis_webpage,https://www.bis.gov.in/consumer-overview/for-consumers-faq/?lang=en,Complaints
BIS conducts consumer awareness programmes across India through its regional and branch offices and works toward wider outreach through consumer groups.,Consumer,R014,,How does BIS educate consumers?,For Consumers FAQ,official_bis_webpage,https://www.bis.gov.in/consumer-overview/for-consumers-faq/?lang=en,Awareness
"The consumer FAQ identifies the ISI Mark and Eco Mark for products under Scheme-I, the Registration Mark for products under the Self Declaration of Conformity Scheme, and Hallmark for hallmarked articles.",Consumer,R015,,What are the BIS Standard Marks mentioned in the consumer FAQ?,For Consumers FAQ,official_bis_webpage,https://www.bis.gov.in/consumer-overview/for-consumers-faq/?lang=en,Standard marks
"Yes. BIS states that hallmarking is covered under the BIS Act, 2016.",FAQs,R016,,Is hallmarking covered under the BIS Act?,BIS Act and Regulation FAQ,official_bis_webpage,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/bis-act-and-regulation-faq/?lang=en,Hallmarking
"BIS states that the BIS (Hallmarking) Regulations, 2018 were notified on June 14, 2018. The regulations cover registration of jewellers, recognition of Assaying and Hallmarking Centres, and licensing of refineries.",FAQs,R017,,What regulations govern hallmarking?,BIS Act and Regulation FAQ,official_bis_webpage,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/bis-act-and-regulation-faq/?lang=en,Hallmarking regulations
"BIS defines a licence as a licence granted under Section 13 of the BIS Act, 2016 to use a specified Standard Mark for goods or articles conforming to a standard.",FAQs,R018,,What is a BIS product certification licence?,Product Certification FAQ,official_bis_webpage,https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,Product certification
"BIS states that licensing is based on assessment of manufacturing infrastructure, process controls, quality control and testing capabilities, together with establishment of product conformity through applicable testing.",FAQs,R019,,How does BIS grant a product certification licence?,Product Certification FAQ,official_bis_webpage,https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,Product certification
The BIS website provides the BIS Hallmarking Regulations and the Mandatory Hallmarking Order with amendments and related guidelines or QCO documents.,Guidelines,R020,,Where can official hallmarking regulations and orders be found?,"BIS Act, Rules & Regulations; Mandatory Hallmarking Order",official_bis_webpage,https://www.bis.gov.in/the-bureau/bis-act-rules-and-regulations/?lang=en,Hallmarking
"Yes. BIS publishes amendments and related documents for the Mandatory Hallmarking Order. The current page lists amendments through August 3, 2026, along with related district lists and exemptions or guidelines.",Guidelines,R021,2026-08-21,Are there official amendments to the Mandatory Hallmarking Order?,Mandatory Hallmarking Order,official_bis_webpage,https://www.bis.gov.in/hallmarking-overview/mandatory-hallmarking-order/?lang=en,Mandatory hallmarking
"Yes. BIS provides guidance on testing old gold jewellery and consumer artefacts by Assaying and Hallmarking Centres, including a linked guideline on testing unhallmarked gold jewellery.",Guidelines,R022,,Is there official guidance for testing old or unhallmarked gold jewellery?,Consumer Protection,official_bis_webpage,https://www.bis.gov.in/hallmarking-overview/consumer-protection/?lang=en,Consumer testing
Yes. The BIS consumer FAQ states that the hallmark is valid for the lifetime of the hallmarked jewellery.,FAQs,R023,,Is a hallmark valid for the lifetime of hallmarked jewellery?,Consumers - Hallmarking FAQs,official_bis_webpage,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/mandatory/?lang=en,Hallmarking
"BIS states that each detachable part of jewellery should have a hallmark, and consumers should check hallmarking and fineness details on each detachable part.",Hallmarking,R024,,Should detachable parts of jewellery have a hallmark?,Common Consumer FAQ,official_bis_webpage,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/common-consumer-faq/?lang=en,Detachable parts
